#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Tue Sep 05 14:02:06 EDT 2017,88,88,Assignment1Suite,ClearTest0+ ClearTest1+ EverythingTest0+ GetTest1+ InsertTest0+ InsertTest1+ InsertTest2+ RemoveTest0+ RemoveTest1+ RemoveTest2+ RemoveTest3+ SizeTest0+ SizeTest1+ SizeTest2+ SizeTest3+ , ,GetTest0- InsertTest3- , ,
1,Tue Sep 05 14:03:40 EDT 2017,94,6,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3+ RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,GetTest0 , ,
2,Tue Sep 05 14:03:58 EDT 2017,94,0,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,GetTest0 , ,
3,Tue Sep 05 14:05:05 EDT 2017,94,0,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,GetTest0 , ,
4,Tue Sep 05 15:26:54 EDT 2017,100,6,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0+ GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
5,Wed Sep 06 17:27:59 EDT 2017,100,0,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
6,Wed Sep 06 17:28:51 EDT 2017,100,0,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
7,Fri Sep 08 11:32:19 EDT 2017,100,0,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
8,Fri Sep 08 11:36:31 EDT 2017,100,0,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
9,Sat Sep 09 13:02:19 EDT 2017,100,0,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
